minfd	nutrient	styr	stqtr	nutcvf
401	2	1974	1	19.00
401	2	1974	2	19.00
401	2	1974	3	19.00
401	2	1974	4	19.00
401	3	1974	1	22.00
401	3	1974	2	22.00
401	3	1974	3	22.00
401	3	1974	4	23.00
401	4	1974	1	13.79
401	4	1974	2	13.79
401	4	1974	3	13.79
401	4	1974	4	13.79
401	5	1974	1	6.69
401	5	1974	2	6.69
401	5	1974	3	6.69
401	5	1974	4	6.69
401	6	1974	1	0.59
401	6	1974	2	0.59
401	6	1974	3	0.59
401	6	1974	4	0.59
401	7	1974	1	28.00
401	7	1974	2	28.00
401	7	1974	3	28.00
401	7	1974	4	28.00
401	8	1974	1	390.00
401	8	1974	2	390.00
401	8	1974	3	390.00
401	8	1974	4	390.00
401	9	1974	1	1.60
401	9	1974	2	1.60
401	9	1974	3	1.60
401	9	1974	4	1.60
401	10	1974	1	700.00
401	10	1974	2	700.00
401	10	1974	3	700.00
401	10	1974	4	700.00
401	11	1974	1	0.59
401	11	1974	2	0.59
401	11	1974	3	0.59
401	11	1974	4	0.59
401	12	1974	1	180.00
401	12	1974	2	180.00
401	12	1974	3	180.00
401	12	1974	4	180.00
401	13	1974	1	110.00
401	13	1974	2	110.00
401	13	1974	3	110.00
401	13	1974	4	110.00
401	14	1974	1	230.00
401	14	1974	2	230.00
401	14	1974	3	230.00
401	14	1974	4	230.00
401	15	1974	1	0.23
401	15	1974	2	0.23
401	15	1974	3	0.23
401	15	1974	4	0.23
401	16	1974	1	0.87
401	16	1974	2	0.87
401	16	1974	3	0.87
401	16	1974	4	0.87
401	17	1974	1	0.49
401	17	1974	2	0.49
401	17	1974	3	0.49
401	17	1974	4	0.49
401	18	1974	1	273.00
401	18	1974	2	273.00
401	18	1974	3	273.00
401	18	1974	4	273.00
401	19	1974	1	5.00
401	19	1974	2	5.00
401	19	1974	3	5.00
401	19	1974	4	5.00
401	20	1974	1	6.00
401	20	1974	2	6.00
401	20	1974	3	6.00
401	20	1974	4	6.00
401	21	1974	1	0.14
401	21	1974	2	0.14
401	21	1974	3	0.14
401	21	1974	4	0.14
501	2	1974	1	19.00
501	2	1974	2	19.00
501	2	1974	3	19.00
501	2	1974	4	19.00
501	3	1974	1	22.00
501	3	1974	2	22.00
501	3	1974	3	22.00
501	3	1974	4	22.00
501	4	1974	1	13.79
501	4	1974	2	13.79
501	4	1974	3	13.79
501	4	1974	4	13.79
501	5	1974	1	6.69
501	5	1974	2	6.69
501	5	1974	3	6.69
501	5	1974	4	6.69
501	6	1974	1	0.59
501	6	1974	2	0.59
501	6	1974	3	0.59
501	6	1974	4	0.59
501	7	1974	1	28.00
501	7	1974	2	28.00
501	7	1974	3	28.00
501	7	1974	4	28.00
501	8	1974	1	390.00
501	8	1974	2	390.00
501	8	1974	3	390.00
501	8	1974	4	390.00
501	9	1974	1	1.60
501	9	1974	2	1.60
501	9	1974	3	1.60
501	9	1974	4	1.60
501	10	1974	1	700.00
501	10	1974	2	700.00
501	10	1974	3	700.00
501	10	1974	4	700.00
501	11	1974	1	0.59
501	11	1974	2	0.59
501	11	1974	3	0.59
501	11	1974	4	0.59
501	12	1974	1	180.00
501	12	1974	2	180.00
501	12	1974	3	180.00
501	12	1974	4	180.00
501	13	1974	1	110.00
501	13	1974	2	110.00
501	13	1974	3	110.00
501	13	1974	4	110.00
501	14	1974	1	230.00
501	14	1974	2	230.00
501	14	1974	3	230.00
501	14	1974	4	230.00
501	15	1974	1	0.23
501	15	1974	2	0.23
501	15	1974	3	0.23
501	15	1974	4	0.23
501	16	1974	1	0.87
501	16	1974	2	0.87
501	16	1974	3	0.87
501	16	1974	4	0.87
501	17	1974	1	0.49
501	17	1974	2	0.49
501	17	1974	3	0.49
501	17	1974	4	0.49
501	18	1974	1	273.00
501	18	1974	2	273.00
501	18	1974	3	273.00
501	18	1974	4	273.00
501	19	1974	1	5.00
501	19	1974	2	5.00
501	19	1974	3	5.00
501	19	1974	4	5.00
501	20	1974	1	6.00
501	20	1974	2	6.00
501	20	1974	3	6.00
501	20	1974	4	6.00
501	21	1974	1	0.14
501	21	1974	2	0.14
501	21	1974	3	0.14
501	21	1974	4	0.14
601	2	1974	1	19.00
601	2	1974	2	19.00
601	2	1974	3	19.00
601	2	1974	4	19.00
601	3	1974	1	22.00
601	3	1974	2	22.00
601	3	1974	3	22.00
601	3	1974	4	22.00
601	4	1974	1	13.79
601	4	1974	2	13.79
601	4	1974	3	13.79
601	4	1974	4	13.79
601	5	1974	1	6.69
601	5	1974	2	6.69
601	5	1974	3	6.69
601	5	1974	4	6.69
601	6	1974	1	0.59
601	6	1974	2	0.59
601	6	1974	3	0.59
601	6	1974	4	0.59
601	7	1974	1	28.00
601	7	1974	2	28.00
601	7	1974	3	28.00
601	7	1974	4	28.00
601	8	1974	1	390.00
601	8	1974	2	390.00
601	8	1974	3	390.00
601	8	1974	4	390.00
601	9	1974	1	1.60
601	9	1974	2	1.60
601	9	1974	3	1.60
601	9	1974	4	1.60
601	10	1974	1	700.00
601	10	1974	2	700.00
601	10	1974	3	700.00
601	10	1974	4	700.00
601	11	1974	1	0.59
601	11	1974	2	0.59
601	11	1974	3	0.59
601	11	1974	4	0.59
601	12	1974	1	180.00
601	12	1974	2	180.00
601	12	1974	3	180.00
601	12	1974	4	180.00
601	13	1974	1	110.00
601	13	1974	2	110.00
601	13	1974	3	110.00
601	13	1974	4	110.00
601	14	1974	1	230.00
601	14	1974	2	230.00
601	14	1974	3	230.00
601	14	1974	4	230.00
601	15	1974	1	0.23
601	15	1974	2	0.23
601	15	1974	3	0.23
601	15	1974	4	0.23
601	16	1974	1	0.87
601	16	1974	2	0.87
601	16	1974	3	0.87
601	16	1974	4	0.87
601	17	1974	1	0.49
601	17	1974	2	0.49
601	17	1974	3	0.49
601	17	1974	4	0.49
601	18	1974	1	273.00
601	18	1974	2	273.00
601	18	1974	3	273.00
601	18	1974	4	273.00
601	19	1974	1	5.00
601	19	1974	2	5.00
601	19	1974	3	5.00
601	19	1974	4	5.00
601	20	1974	1	6.00
601	20	1974	2	6.00
601	20	1974	3	6.00
601	20	1974	4	6.00
601	21	1974	1	0.14
601	21	1974	2	0.14
601	21	1974	3	0.14
601	21	1974	4	0.14
901	2	1974	1	19.00
901	2	1974	2	19.00
901	2	1974	3	19.00
901	2	1974	4	19.00
901	3	1974	1	21.00
901	3	1974	2	21.00
901	3	1974	3	21.00
901	3	1974	4	21.00
901	4	1974	1	12.89
901	4	1974	2	12.89
901	4	1974	3	12.89
901	4	1974	4	12.89
901	5	1974	1	6.19
901	5	1974	2	6.19
901	5	1974	3	6.19
901	5	1974	4	6.19
901	6	1974	1	0.49
901	6	1974	2	0.49
901	6	1974	3	0.49
901	6	1974	4	0.49
901	7	1974	1	39.00
901	7	1974	2	39.00
901	7	1974	3	39.00
901	7	1974	4	39.00
901	8	1974	1	410.00
901	8	1974	2	410.00
901	8	1974	3	410.00
901	8	1974	4	410.00
901	9	1974	1	1.71
901	9	1974	2	1.71
901	9	1974	3	1.71
901	9	1974	4	1.71
901	10	1974	1	660.00
901	10	1974	2	660.00
901	10	1974	3	660.00
901	10	1974	4	660.00
901	11	1974	1	0.49
901	11	1974	2	0.49
901	11	1974	3	0.49
901	11	1974	4	0.49
901	12	1974	1	180.00
901	12	1974	2	180.00
901	12	1974	3	180.00
901	12	1974	4	180.00
901	13	1974	1	110.00
901	13	1974	2	110.00
901	13	1974	3	110.00
901	13	1974	4	110.00
901	14	1974	1	240.00
901	14	1974	2	240.00
901	14	1974	3	240.00
901	14	1974	4	240.00
901	15	1974	1	0.14
901	15	1974	2	0.14
901	15	1974	3	0.14
901	15	1974	4	0.14
901	16	1974	1	0.79
901	16	1974	2	0.79
901	16	1974	3	0.79
901	16	1974	4	0.79
901	17	1974	1	0.39
901	17	1974	2	0.39
901	17	1974	3	0.39
901	17	1974	4	0.39
901	18	1974	1	251.00
901	18	1974	2	251.00
901	18	1974	3	251.00
901	18	1974	4	251.00
901	19	1974	1	4.59
901	19	1974	2	4.59
901	19	1974	3	4.59
901	19	1974	4	4.59
901	20	1974	1	5.00
901	20	1974	2	5.00
901	20	1974	3	5.00
901	20	1974	4	5.00
901	21	1974	1	5.95
901	21	1974	2	5.95
901	21	1974	3	5.95
901	21	1974	4	5.95
1001	2	1974	1	22.00
1001	2	1974	2	22.00
1001	2	1974	3	22.00
1001	2	1974	4	22.00
1001	3	1974	1	22.00
1001	3	1974	2	22.00
1001	3	1974	3	22.00
1001	3	1974	4	22.00
1001	4	1974	1	13.59
1001	4	1974	2	13.59
1001	4	1974	3	13.59
1001	4	1974	4	13.59
1001	5	1974	1	6.59
1001	5	1974	2	6.59
1001	5	1974	3	6.59
1001	5	1974	4	6.59
1001	6	1974	1	0.59
1001	6	1974	2	0.59
1001	6	1974	3	0.59
1001	6	1974	4	0.59
1001	7	1974	1	30.00
1001	7	1974	2	30.00
1001	7	1974	3	30.00
1001	7	1974	4	30.00
1001	8	1974	1	400.00
1001	8	1974	2	400.00
1001	8	1974	3	400.00
1001	8	1974	4	400.00
1001	9	1974	1	1.66
1001	9	1974	2	1.66
1001	9	1974	3	1.66
1001	9	1974	4	1.66
1001	10	1974	1	680.00
1001	10	1974	2	680.00
1001	10	1974	3	680.00
1001	10	1974	4	680.00
1001	11	1974	1	4.79
1001	11	1974	2	4.79
1001	11	1974	3	4.79
1001	11	1974	4	4.79
1001	12	1974	1	160.00
1001	12	1974	2	160.00
1001	12	1974	3	160.00
1001	12	1974	4	160.00
1001	13	1974	1	130.00
1001	13	1974	2	130.00
1001	13	1974	3	130.00
1001	13	1974	4	130.00
1001	14	1974	1	230.00
1001	14	1974	2	230.00
1001	14	1974	3	230.00
1001	14	1974	4	230.00
1001	15	1974	1	0.25
1001	15	1974	2	0.25
1001	15	1974	3	0.25
1001	15	1974	4	0.25
1001	16	1974	1	0.88
1001	16	1974	2	0.88
1001	16	1974	3	0.88
1001	16	1974	4	0.88
1001	17	1974	1	0.59
1001	17	1974	2	0.59
1001	17	1974	3	0.59
1001	17	1974	4	0.59
1001	18	1974	1	312.00
1001	18	1974	2	312.00
1001	18	1974	3	312.00
1001	18	1974	4	312.00
1001	19	1974	1	5.79
1001	19	1974	2	5.79
1001	19	1974	3	5.79
1001	19	1974	4	5.79
1001	20	1974	1	30.00
1001	20	1974	2	30.00
1001	20	1974	3	30.00
1001	20	1974	4	30.00
1001	21	1974	1	7.14
1001	21	1974	2	7.14
1001	21	1974	3	7.14
1001	21	1974	4	7.14
1101	2	1974	1	20.00
1101	2	1974	2	20.00
1101	2	1974	3	20.00
1101	2	1974	4	20.00
1101	3	1974	1	21.00
1101	3	1974	2	21.00
1101	3	1974	3	21.00
1101	3	1974	4	21.00
1101	4	1974	1	12.79
