hhno	visgpno	sex	age	occ	soc	dact	nbalvis
110003	3	1	0	9995		0	7
110005	4	1	1	9985		0	5
110005	5	2	0	9995		0	5
110005	6	2	1	9985		0	5
110005	7	1	1	9985		0	5
110007	5	2	0	9995		0	4
110007	6	2	1	9985		0	4
110007	7	1	1	9985		0	4
110007	8	1	1	9985		0	4
110009	3	1	0	9995		0	9
110009	4	1	1	9985		0	4
110009	5	2	0	9995		0	5
110010	3	1	0	9995		0	15
110010	4	2	0	9995		0	7
110011	3	1	0	9995		0	10
110011	4	1	1	9985		0	22
110011	5	1	1	9985		0	22
110011	6	2	0	9995		0	5
110015	3	1	0	9995		0	5
110015	4	2	0	9995		0	5
110020	3	1	0	9995		0	41
110025	5	2	0	9995		0	6
110026	4	2	0	9995		0	21
110026	5	2	1	9985		0	9
110026	6	1	1	9985		0	9
110026	7	1	0	9995		0	2
110028	6	1	0	9995		0	5
110029	4	1	0	9995		0	9
110031	3	2	0	9995		0	4
110033	6	1	0	9995		0	5
110036	5	1	0	9995		0	2
110036	6	2	0	9995		0	2
110037	6	2	0	9995		0	7
110037	7	1	1	9985		0	7
110040	3	1	0	9995		0	9
110040	4	2	0	9995		0	9
110040	5	1	1	9985		0	4
110040	6	2	1	9985		0	4
110040	7	2	1	9985		0	4
110041	2	1	1	9985		0	33
110045	2	1	0	9995		0	5
110045	3	2	0	9995		0	5
110047	4	1	0	9995		0	6
110047	5	2	0	9995		0	6
110047	6	1	1	9985		0	2
110047	7	2	1	9985		0	2
110053	5	1	0	9995		0	4
110055	3	2	0	9995		0	49
110055	4	1	0	9995		0	4
110055	5	1	1	9985		0	9
110055	6	1	1	9985		0	4
110055	7	2	1	9985		0	9
110055	8	2	1	9985		0	9
110055	9	2	1	9985		0	5
110056	6	2	0	9995		0	9
110059	2	2	0	9995		0	4
110059	3	1	0	9995		0	4
110060	2	2	0	9995		0	14
110060	3	2	1	9985		0	9
110060	4	2	1	9985		0	14
110061	4	2	0	9995		0	5
110061	5	1	0	9995		0	5
110062	3	2	0	9995		0	4
110063	2	2	0	9995		0	9
110063	3	1	0	9995		0	5
110064	2	2	0	9995		0	5
110064	3	1	0	9995		0	5
110065	5	1	0	9995		0	5
110065	6	2	0	9995		0	5
110065	7	1	1	9985		0	5
110065	8	1	1	9985		0	5
110065	9	1	1	9985		0	5
110069	5	2	0	9995		0	5
110071	4	2	0	9995		0	9
110075	3	1	1	9985		0	38
110075	4	2	1	9985		0	30
110077	5	1	1	9995		0	39
110077	6	1	1	9985		0	27
110078	4	1	0	9995		0	3
110079	5	1	1	9985		0	11
110079	6	2	0	9995		0	10
110079	7	1	1	9995		0	2
110082	5	1	0	9995		0	4
110084	7	2	0	9995		0	4
110084	8	1	0	9995		0	4
110084	9	2	1	9985		0	4
110084	10	1	1	9985		0	4
110087	4	1	0	9995		0	21
110089	3	2	0	9995		0	39
110092	5	1	0	9995		0	5
110092	6	2	0	9995		0	10
110092	7	1	1	9985		0	5
110095	3	2	0	9995		0	7
110095	4	1	0	9995		0	30
110096	6	2	0	9995		0	23
110096	7	1	0	9995		0	28
110096	8	1	1	9985		0	4
110096	9	2	1	9985		0	2
110096	10	1	1	9985		0	7
110096	11	2	1	9985		0	7
110104	4	2	0	9995		0	2
110109	3	1	0	9995		0	9
110109	4	2	0	9995		0	16
110109	5	2	1	9985		0	7
110110	3	2	0	9995		0	10
110111	3	2	0	9995		0	9
110111	4	2	1	9985		0	27
110111	5	1	1	9985		0	27
110112	2	1	1	9985		0	33
110113	6	2	0	9995		0	4
110113	7	1	1	9985		0	4
110115	4	1	0	9995		0	4
110115	5	2	0	9995		0	4
110115	6	2	1	9985		0	4
110115	7	2	1	9985		0	4
110116	2	2	0	9995		0	4
110118	3	2	0	9995		0	7
110118	4	1	0	9995		0	5
110120	5	1	0	9995		0	58
110120	6	2	0	9995		0	17
110120	7	2	1	9985		0	11
110125	2	1	0	9995		0	5
110127	5	2	1	9985		0	5
110129	3	1	1	9985		0	5
110129	4	1	1	9985		0	5
110129	5	1	1	9985		0	11
110133	3	1	0	9995		0	34
110133	4	2	0	9995		0	10
110133	5	2	1	9985		0	5
110133	6	1	1	9985		0	5
110133	7	1	1	9985		0	5
110133	8	2	1	9985		0	2
110133	9	2	1	9995		0	2
110137	5	1	1	9985		0	10
110137	6	2	1	9995		0	4
110143	5	2	0	9995		0	10
110144	2	2	0	9995		0	4
110146	5	2	0	9995		0	4
110147	4	2	1	9985		0	3
110149	3	1	1	9985		0	9
110149	4	1	1	9985		0	9
110149	5	1	0	9995		0	9
110149	6	2	0	9995		0	9
110150	7	1	0	9995		0	3
110153	3	1	1	9985		0	11
110154	3	1	0	9995		0	8
110155	3	2	1	9985		0	10
110155	4	2	1	9985		0	5
110159	3	1	0	9995		0	93
110159	4	2	0	9995		0	87
110165	6	2	0	9995		0	12
110165	7	1	1	9985		0	5
110167	3	2	0	9995		0	5
110167	4	1	0	9995		0	5
110168	5	2	1	9985		0	6
110168	6	2	0	9995		0	21
110168	7	1	0	9995		0	2
110169	7	1	0	9995		0	4
110169	8	2	0	9995		0	4
110171	4	1	0	9995		0	4
110171	5	2	0	9995		0	5
110171	6	2	1	9985		0	5
110172	5	1	0	9995		0	13
110175	3	2	0	9995		0	5
