hhno	logday	schml	pkdl	othl	mlwhl	midml	mlso
130002	1	0	0	0	0	1	1
130002	7	0	0	0	0	1	1
130003	4	0	0	0	0	0	1
130003	5	0	0	0	0	1	2
130004	1	0	0	0	0	0	2
130005	1	0	0	0	0	1	1
130005	2	0	0	0	0	1	2
130005	3	0	0	0	0	1	1
130005	4	0	0	0	0	1	1
130005	5	0	0	0	0	1	1
130005	6	0	0	0	0	1	1
130005	7	0	0	0	0	0	1
130006	4	0	0	0	0	1	1
130007	1	0	0	0	0	1	1
130007	2	0	0	0	0	1	1
130007	3	0	0	0	0	1	1
130007	4	0	0	0	0	1	1
130007	5	0	0	0	0	1	1
130007	6	0	0	0	0	1	1
130007	7	0	0	0	0	1	1
130008	1	0	0	0	0	3	6
130009	1	0	0	0	0	1	4
130009	2	0	0	0	0	3	10
130009	3	0	0	0	0	2	8
130009	4	0	0	0	0	2	6
130009	5	0	0	0	0	1	4
130009	6	0	0	0	0	1	5
130009	7	0	0	0	0	2	8
130010	1	0	0	0	0	1	1
130010	3	0	0	0	0	1	1
130010	6	0	0	0	0	1	1
130010	7	0	0	0	0	1	1
130011	1	0	0	0	0	0	1
130011	2	0	0	0	0	1	3
130011	3	0	0	0	0	3	5
130011	4	0	0	0	0	3	5
130011	5	0	0	0	0	3	6
130011	6	0	0	0	0	2	3
130011	7	0	0	0	0	1	4
130012	1	0	0	0	0	1	4
130012	2	0	0	0	0	2	5
130012	3	0	0	0	0	1	4
130012	4	0	0	0	0	1	4
130012	5	0	0	0	0	1	5
130012	6	0	0	0	0	2	5
130012	7	0	0	0	0	2	5
130013	5	0	0	0	0	1	1
130013	6	0	0	0	0	0	1
130015	1	0	0	0	0	3	5
130015	3	0	0	0	0	1	3
130015	4	0	0	0	0	0	2
130015	5	0	0	0	0	0	2
130015	6	0	0	0	0	0	2
130015	7	0	0	0	0	1	3
130017	1	0	0	0	0	1	2
130017	2	0	0	0	0	1	2
130017	6	0	0	0	0	1	1
130017	7	0	0	0	0	1	1
130019	1	0	0	0	0	1	1
130020	2	0	0	0	0	1	3
130020	4	0	0	0	0	0	1
130020	5	0	0	0	0	0	2
130021	1	0	0	0	0	2	2
130021	2	0	0	0	0	0	2
130021	3	0	0	0	0	1	4
130021	4	0	0	0	0	1	1
130021	5	0	0	0	0	2	4
130021	6	0	0	0	0	1	1
130021	7	0	0	0	0	1	1
130022	1	0	2	0	0	3	8
130022	2	0	0	0	0	4	9
130022	3	0	0	0	0	1	6
130022	4	2	0	0	0	4	9
130022	5	0	2	0	0	2	5
130022	6	0	1	0	0	3	6
130022	7	0	2	0	0	3	9
130024	1	0	0	1	0	3	3
130024	3	0	2	0	0	1	1
130024	4	0	2	0	0	2	2
130024	5	0	2	0	0	1	1
130024	6	0	2	0	0	2	2
130024	7	0	2	0	0	1	1
130025	1	0	0	0	0	1	1
130026	1	0	0	0	0	1	1
130026	5	0	0	0	0	2	2
130027	1	4	0	0	0	7	16
130027	2	4	0	0	0	7	10
130027	3	0	0	2	0	5	9
130027	5	0	0	0	0	1	1
130027	6	0	0	0	0	1	7
130027	7	0	0	1	0	6	15
130028	1	0	1	0	0	3	3
130028	2	0	0	1	0	4	4
130028	3	0	0	1	0	4	4
130028	4	0	0	0	0	3	3
130028	5	0	0	0	0	3	4
130028	6	0	0	0	0	3	3
130028	7	0	0	0	0	3	5
130029	1	2	0	0	0	2	3
130029	2	2	0	0	0	3	3
130029	3	0	0	0	0	1	1
130029	4	0	1	0	0	0	0
130029	5	0	0	0	0	1	4
130029	6	0	0	0	0	2	4
130029	7	0	0	0	0	3	4
130030	2	0	0	0	0	2	2
130031	2	0	0	0	0	0	1
130031	4	0	0	0	0	1	2
130031	5	0	0	0	0	0	2
130031	6	0	0	0	0	0	1
130031	7	0	0	0	0	0	1
130032	1	0	0	0	0	1	1
130032	4	0	0	0	0	0	1
130032	5	0	0	0	0	0	1
130032	6	0	0	0	0	0	1
130032	7	0	0	0	0	0	1
130033	3	0	0	0	0	0	1
130033	4	0	0	0	0	0	1
130033	7	0	0	0	0	0	1
130034	2	0	0	0	0	0	2
130034	4	0	0	0	0	2	2
130035	2	0	0	0	0	0	2
130035	3	0	0	0	0	1	1
130035	5	0	0	0	0	0	2
130036	1	0	0	0	0	4	4
130036	2	0	0	0	0	3	3
130036	3	0	0	0	0	2	2
130036	4	0	0	0	0	2	2
130036	7	0	0	0	0	3	3
130037	1	0	0	0	0	2	2
130037	2	0	0	0	0	1	3
130037	3	0	0	0	0	2	5
130037	4	0	0	0	0	2	3
130037	6	0	0	0	0	0	1
130037	7	0	0	0	0	1	1
130038	2	0	0	0	0	0	2
130038	3	0	0	0	0	0	1
130040	3	0	0	0	0	0	2
130040	4	0	0	0	0	1	2
130040	5	0	0	0	0	3	7
130041	5	0	0	0	0	1	1
130041	6	0	0	0	0	2	3
130042	2	0	0	0	0	1	2
130042	3	0	0	0	0	1	1
130042	5	0	0	0	0	1	1
130042	7	0	0	0	0	0	1
130045	1	0	0	2	0	4	4
130045	2	0	0	2	0	4	4
130045	4	0	0	0	0	1	1
130046	1	0	0	0	0	0	5
130046	2	0	0	2	0	3	4
130046	3	0	0	0	0	3	7
130046	4	0	0	0	0	2	4
130046	5	0	0	0	0	3	11
130046	6	0	0	0	0	3	12
130046	7	0	0	0	0	3	11
130048	1	0	0	0	0	3	5
130048	5	0	0	0	0	0	1
130049	1	0	0	0	0	1	1
130049	2	0	0	0	0	1	1
130049	3	0	0	0	0	1	2
130050	1	0	0	0	0	2	4
130051	2	0	0	0	0	1	2
130051	5	0	0	0	0	1	1
130051	6	0	0	0	0	1	1
130051	7	0	0	0	0	1	1
130052	3	0	0	0	0	0	1
130052	6	0	0	0	0	0	1
130052	7	0	0	0	0	0	1
130053	1	0	0	0	0	1	1
130053	3	0	0	0	0	0	5
130053	4	0	0	0	0	2	2
130053	5	0	0	0	0	1	1
130053	6	0	0	0	0	2	2
130053	7	0	0	0	0	3	5
130054	1	2	0	0	0	2	2
130054	2	2	0	0	0	1	1
130054	5	2	0	0	0	1	1
130054	6	2	0	0	0	1	9
