hhno	Pregnancy_in_household	Child(ren)_under_2
207781	No	No
207782	No	No
207783	No	No
207784	No	No
207785	No	No
207786	No	No
207787	No	No
207788	No	No
207789	No	No
207790	No	Yes
207791	No	No
207792	No	No
207793	No	No
207794	No	No
207795	No	No
207796	No	No
207797	No	No
207798	No	No
207799	No	No
207800	No	Yes
207801	No	No
207802	No	No
207803	No	Yes
207804	No	No
207805	No	No
207806	No	No
207807	No	No
207808	No	No
207809	No	No
207810	No	No
207811	No	No
207812	No	No
207813	Yes	No
207814	No	No
207815	No	No
207816	No	No
207817	Yes	No
207818	No	No
207819	No	No
207820	No	No
207821	No	No
207822	No	No
207823	No	No
207824	No	No
207825	No	No
207826	No	No
207827	No	Yes
207828	No	No
207829	No	No
207830	No	No
207831	No	No
207832	No	No
207833	No	No
207834	No	No
207835	No	No
207836	No	No
207837	No	No
207838	No	No
207839	No	No
207840	No	No
207841	No	No
207842	No	No
207843	No	No
207844	No	No
207845	No	No
207846	No	No
207847	No	No
207848	No	No
207849	No	Yes
207850	No	No
207851	No	No
207852	No	No
207853	No	No
207854	No	No
207855	No	No
207856	No	No
207857	No	No
207858	No	No
207859	No	No
207860	No	No
207861	No	No
207862	No	No
207863	No	No
207864	No	No
207865	No	No
207866	No	No
207867	No	No
207868	No	No
207869	No	No
207870	No	No
207871	No	Yes
207872	No	No
207873	No	No
207874	No	No
207875	No	Yes
207876	No	Yes
207877	No	No
207878	No	No
207879	No	No
207880	No	No
207881	No	No
207882	No	No
207883	No	No
207884	No	No
207885	No	No
207886	No	No
207887	No	No
207888	No	No
207889	No	No
207890	No	No
207891	No	No
207892	No	Yes
207893	No	No
207894	No	No
207895	No	No
207896	No	No
207897	No	No
207898	No	Yes
207899	No	No
207900	No	No
207901	No	Yes
207902	No	No
207903	No	No
207904	No	No
207905	No	No
207906	No	No
207907	No	No
207908	No	No
207909	No	No
207910	No	No
207911	No	No
207912	No	Yes
207913	No	No
207914	No	No
207915	No	No
207916	No	No
207917	No	No
207918	No	No
207919	No	No
207920	No	No
207921	No	No
207922	No	No
207923	No	No
207924	No	No
207925	No	Yes
207926	No	No
207927	No	No
207928	No	No
207929	No	No
207930	No	No
207931	No	No
207932	No	No
207933	No	No
207934	No	No
207935	No	No
207936	No	No
207937	No	No
207938	No	No
207939	No	No
207940	No	No
207941	No	No
207942	No	No
207943	No	No
207944	No	No
