occ	description	unpacked description
101	FISH GARD GRMEN SLF EMP NONAGCUL	Fishermen, Gardeners, Groundsmen Self-Employed Non-Agricultural
102	FISH GARD GRMEN MGRS NONAGCUL	Fishermen, Gardeners, Groundsmen Managers Non-Agricultural
103	FISH GARD GRMEN FOREMEN NONAGCUL	Fishermen, Gardeners, Groundsmen Foremen Non-Agricultural
104	FISH GARD GRMEN EMP NEC NONAGCUL	Fishermen, Gardeners, Groundsmen, Employees not elsewhere classified Non-Agricultural
121	FMMGRS MKGARD SLF EMP FMS FOR FISH AGCUL	Farm Managers, Market Gardeners, Self-Employed, Farmers, Foresters, Fishermen, Agricultural
122	FMS MARGARD MGRS FMS FOR FISH AGCUL	Farmers, Market Gardeners, Managers, Farmers, Foresters, Fishermen, Agricultural
151	P SKD SLF EMP FMS FOR FISH AGCUL	Partly Skilled, Self-Employed, Farmers, Foresters, Fishermen, Agricultural
152	P SKD MGRS FMS FOR FISH AGCUL	Partly Skilled, Managers, Farmers, Foresters, Fishermen, Agricultural
153	P SKD FOREMEN FMS FOR FISH AGCUL	Partly Skilled, Foremen, Farmers, Foresters, Fishermen, Agricultural
154	P SKD EMP NEC FMS FOR FISH AGCUL	Partly Skilled, Employees, not elsewhere classified, Farmers, Foresters, Fishermen, Agricultural
241	SKD SLF EMP MINERS & QUARRYMEN	Skilled, Self-Employed, Miners & Quarrymen
242	SKD MGRS MINERS & QUARRYMEN	Skilled, Managers, Miners & Quarrymen
243	SKD FOREMEN MINERS & QUARRYMEN	Skilled, Foremen, Miners & Quarrymen
244	SKD EMP NEC MINERS & QUARRYMEN	Skilled, Employees, not elsewhere classified Miners & Quarrymen
251	P SKD SLF EMP MINERS & QUARRYMEN	Partly Skilled, Self-Employed, Miners & Quarrymen Quarrymen
252	P SKD MGRS MINERS & QUARRRYMEN	Partly Skilled, Managers, Miners & Quarrymen
253	P SKD FOREMEN MINERS & QUARRYMEN	Partly Skilled, Foremen, Miners & Quarrymen
254	P SKD EMP NEC MINERS & QUARRYMEN	Partly Skilled, Employees, not elsewhere classified Miners & Quarrymen
351	P SKD SLF EMP GAS, COKE & CML MAKERS	Partly Skilled, Self-Employed, Gas, Coke & Chemicals Makers
352	P SKD MGRS GAS, COKE & CML MAKERS	Partly Skilled, Managers, Gas, Coke & Chemicals Makers
353	P SKD FOREMEN GAS, COKE CML MAKERS	Partly Skilled, Foremen, Gas, Coke & Chemicals Makers
354	P SKD EMP NEC GAS, COKE & CML MAKERS	Partly Skilled, Employees, not elsewhere classified, Gas, Coke & Chemicals Makers
441	SKD SLF EMP GLASS & CRS MAKERS	Skilled, Self-Employed, Glass & Ceramics Makers
442	SKD MGRSGLASS & CRS MAKERS	Skilled, Managers, Glass & Ceramics Makers
443	SKD FOREMEN GLASS & CMS MAKERS	Skilled, Foremen, Glass & Ceramics Makers
444	SKD EMP NEC GLASS & CMS MAKERS	Skilled, Employees, not elsewhere classified, Glass & Ceramics Makers
451	P SKD SLF EMP GLASS & CMS MAKERS	Partly Skilled, Self-Employed, Glass & Ceramics Makers
452	P SKD MGRS GLASS & CMS MAKERS	Partly Skilled, Managers, Glass & Ceramics Makers
453	P SKD FOREMEN GLASS & CMS MAKERS	Partly Skilled, Foremen, Glass & Ceramics Makers
454	P SKD EMP NEC GLASS & CMS MAKERS	Partly Skilled, Employees, not elsewhere classified, Glass & Ceramics Makers
541	SKD SLF EMP FUR FRGE FUDRY ROLMIL WRKS	Skilled, Self-Employed, Furnacemen, Forgemen, Foundrymen, Rolling Mill Workers
542	SKD MGRS FUR FRGE FUDRY ROLMIL WRKS	Skilled, Managers, Furnacemen, Forgemen, Foundrymen, Rolling Mill Workers
543	SKD FOREMEN FUR FRGE FUDRY ROLMIL WRKS	Skilled, Foremen, Furnacemen, Forgemen, Foundrymen, Rolling Mill Workers
544	SKD EMP NEC FUR FRGE FUDRY ROLMIL WRKS	Skilled, Employees, not elsewhere classified, Furnacemen, Forgemen, Foundrymen, Rolling Mill Workers
551	P SKD SLF EMP FUR FRGE FUDRY ROLMIL WRKS	Partly Skilled, Self-Employed, Furnacemen, Forgemen, Foundrymen, Rolling Mill Workers
552	P SKD MGRS FUR FRGE FUDRY ROLMIL WRKS	Partly Skilled, Managers, Furnacemen, Forgemen, Foundrymen, Rolling Mill Workers
553	P SKD FOREMEN FUR FRGE FUDRY ROLMIL WRKS	Partly Skilled, Foremen, Furnacemen, Forgemen, Foundrymen, Rolling Mill Workers
554	P SKD EMP NEC FUR FRGE FUDRY ROLMIL WRKS	Partly Skilled, Employees, not elsewhere classified, Furnacemen, Forgemen, Foundrymen, Rolling Mill Workers
641	SKD  SLF EMP ELECTRIC ELECTRONIC WRKS	Skilled, Self-Employed, Electrical, Electronic Workers
642	SKD MGRS ELECTRIC ELECTRONIC WRKS	Skilled, Managers, Electrical, Electronic Workers
643	SKD FOREMEN ELECTRIC ELECTRONIC WRKS	Skilled, Foremen, Electrical, Electronic Workers
644	SKD EMP NEC ELECTRIC ELECTRONIC WRKS	Skilled, Employees, not elsewhere classified, Electrical, Electronic Workers
651	P SKD SLF EMP ELECTRIC ELECTRONIC WRKS	Partly Skilled, Self-Employed, Electrical, Electronic Workers
653	P SKD FOREMEN ELECTRIC ELECTRONIC WRKS	Partly Skilled, Foremen, Electrical, Electronic Workers
654	P SKD EMP NEC ELECTRIC ELECTRONIC WRKS	Partly Skilled, Employees, not elsewhere classified, Electrical, Electronic Workers
741	SKD SLF EMP ENG & ALLIED TRADES NEC	Skilled, Self-Employed, Engineering & Allied Trades, not elsewhere classified
742	SKD MGRS ENG & ALLIED TRADES NEC	Skilled, Managers, Engineering & Allied Trades, not elsewhere classified
743	SKD FOREMEN ENG & ALLIED TRADES NEC	Skilled, Foremen, Engineering & Allied Trades, not elsewhere classified
744	SKD EMP NEC ENG & ALLIED TRADES NEC	Skilled, Employees, not elsewhere classified, Engineering & Allied Trades, not elsewhere classified
751	P SKD SLF EMP ENG & ALLIED TRADES NEC	Partly Skilled, Self-Employed, Engineering & Allied Trades, not elsewhere classified
752	P SKD MGRS ENG & ALLIED TRADES NEC	Partly Skilled, Managers, Engineering & Allied Trades, not elsewhere classified
753	P SKD FOREMEN ENG & ALLIED TRADES NEC	Partly Skilled, Foremen, Engineering & Allied Trades, not elsewhere classified
754	P SKD EMP NEC ENG & ALLIED TRADES NEC	Partly Skilled, Employees, not elsewhere classified, Engineering & Allied Trades, not elsewhere classified
841	SKD SLF EMP WOODWORKERS	Skilled, Self-Employed, Woodworkers
842	SKD MGRS WOODWORKERS	Skilled, Managers, Woodworkers
843	SKD FOREMEN WOODWORKERS	Skilled, Foremen, Woodworkers
844	SKD EMP NEC WOODWORKERS	Skilled, Employees, not elsewhere classified, Woodworkers
941	SKD SLF EMP LEATHERWORKERS	Skilled, Self-Employed, Leatherworkers
942	SKD MGRS LEATHERWORKERS	Skilled, Managers, Leatherworkers
943	SKD FOREMEN LEATHERWORKERS	Skilled, Foremen, Leatherworkers
944	SKD EMP NEC LEATHERWORKERS	Skilled, Employees, not elsewhere classified, Leatherworkers
1041	SKD SLF EMP TEXTILE WORKERS	Skilled, Self-Employed, Textile Workers
1042	SKD MGRS TEXTILE WORKERS	Skilled, Managers, Textile Workers
1043	SKD FOREMEN TEXTILE WORKERS	Skilled, Foremen, Textile Workers
1044	SKD EMP NEC TEXTILE WORKERS	Skilled, Employees, not elsewhere classified, Textile Workers
1051	P SKD SLF EMP TEXTILE WORKERS	Partly Skilled, Self-Employed, Textile Workers
1052	P SKD MGRS TEXTILE WORKERS	Partly Skilled, Managers, Textile Workers
1053	P SKD FOREMEN TEXTILE WORKERS	Partly Skilled, Foremen, Textile Workers
1054	P SKD EMP NEC TEXTILE WORKERS	Partly Skilled, Employees, not elsewhere classified, Textile Workers
1141	SKD SLF EMP CLOTHING WORKERS	Skilled, Self-Employed, Clothing Workers
1142	SKD MGRS CLOTHING WORKERS	Skilled, Managers, Clothing Workers
1143	SKD FOREMEN CLOTHING WORKERS	Skilled, Foremen, Clothing Workers
1144	SKD EMP NEC CLOTHING WORKERS	Skilled, Employees, not elsewhere classified, Clothing Workers
1151	P SKD SLF EMP CLOTHING WORKERS	Partly Skilled, Self-Employed, Clothing Workers
1153	P SKD FOREMEN CLOTHING WORKERS	Partly Skilled, Foremen, Clothing Workers
1154	P SKD EMPLOYEES CLOTHING WORKERS	Partly Skilled, Employees, Clothing Workers
1241	SKD SLF EMP FD DK & TBO WORKERS	Skilled, Self-Employed, Food, Drink & Tobacco Workers
1242	SKD MGRS FD DK& TBO WORKERS	Skilled, Managers, Food, Drink & Tobacco Workers
1243	SKD FOREMEN FD DK & TBO WORKERS	Skilled, Foremen, Food, Drink & Tobacco Workers
1244	SKD EMP NEC FD DK & TBO WORKERS	Skilled, Employees, not elsewhere classified, Food, Drink & Tobacco Workers
1251	P SKD SLF EMP FD DK & TBO WORKERS	Partly Skilled, Self-Employed, Food, Drink & Tobacco Workers
1252	P SKD MGRS FD DK & TBO WORKERS	Partly Skilled, Managers, Food, Drink & Tobacco Workers
1253	P SKD FOREMEN FD DK & TBO WORKERS	Partly Skilled, Foremen, Food, Drink & Tobacco Workers
1254	P SKD EMP NEC FD DK & TBO WORKERS	Partly Skilled, Employees, not elsewhere classified, Food, Drink & Tobacco Workers
1341	SKD SLF EMP PAPER & PRINTING WORKERS	Skilled, Self-Employed, Paper & Printing Workers
1342	SKD MGRS PAPER & PRINTING WORKERS	Skilled, Managers, Paper & Printing Workers
1343	SKD FOREMEN PAPER & PRINTING WORKERS	Skilled, Foremen, Paper & Printing Workers
1344	SKD EMP NEC PAPER & PRINTING WORKERS	Skilled, Employees, not elsewhere classified, Paper & Printing Workers
1441	SKD SLF EMP MAKERS OTH PROD RUB PLSTCS	Skilled, Self-Employed, Makers of Other Products in Rubber & Plastics
1442	SKD MGRS MAKERS OTH PROD RUB PLSTCS	Skilled, Managers, Makers of Other Products in Rubber & Plastics
1443	SKD FOREMEN MAKERS OTH PROD RUB PLSTCS	Skilled, Foremen, Makers of Other Products in Rubber & Plastics
1444	SKD EMP NEC MAKERS OTH PROD RUB PLSTCS	Skilled, Employees, not elsewhere classified, Makers of Other Products in Rubber & Plastics
1451	P SKD SLF EMP MAKERS OTH PROD RUB PLSTCS	Partly Skilled, Self-Employed, Makers of Other Products in Rubber & Plastics
1452	P SKD MGRS MAKERS OTH PROD RUB PLSTCS	Partly Skilled, Managers, Makers of Other Products in Rubber & Plastics
