soc	description
1	UNOCCUPIED (INC=STATE RET PENSION)
2	UNOCCUPIED (INC=OTHER STATE PENSION)
3	RETIRED/UNOCCUPIED (INC=NOT STATE)
4	UNEMPLOYED/SICK (INC=NATIONAL INSURANCE)
5	UNEMPLOYED/SICK/STUDENT (INC=NOT NATINS)
6	OTHER NON-EARNERS (INC MATERNITY ALLOW)
7	VISITORS AGED 16 PLUS
8	NO INFORMATION ON OCCUPATION
100	GEN ADMIN: GOVT G5+
101	GEN MANAGER: LARGE ORGANISATIONS
102	LOCAL GOVT OFFICER
103	GEN ADMIN: GOVT HEO-G6
110	PRODUCTION,WORKS & MAINTENANCE MANAGERS
111	BUILDING & CONTRACTING MANAGERS
112	CLERK OF WORKS
113	MINING/ENERGY INDUSTRY : MANAGER
120	TREASURERS & COMPANY FINANCIAL MANAGERS
121	MARKETING & SALES MANAGERS
122	PURCHASING MANAGERS
123	ADVERTISING & PUBLIC RELATIONS MANAGERS
124	PERSONNEL,TRAINING & IND.RELATION MNGRS
125	ORGANISATION & METHOD/WORK STUDY MANAGER
126	COMPUTER SYSTEMS & DATA PROCESSING MNGRS
127	COMPANY SECRETARIES
130	CREDIT CONTROLLERS
131	BANK,BUILDING SOCIETY & P.O. MANAGERS
132	CIVIL SERVICE EXECUTIVE OFFICERS
139	OTHER FIN.INSTITUTION & OFFICE MANAGERS
140	TRANSPORT MANAGERS
141	STORES CONTROLLERS
142	MANAGERS-WAREHOUSING & HANDLING
150	OFFICERS IN UK ARMED FORCES
151	OFFICERS IN FGN/CMNWLTH ARMED FORCES
152	POLICE OFFICERS (INSPECTOR & ABOVE)
153	FIRE SERVICE OFFICER(STATION OFFICER +)
154	PRISON OFFICER (PRINCIPAL OFFICER +)
155	CUSTOMS & EXCISE,IMMIGRATION OFFICER-SNR
160	FRM OWNERS& MANAGERS,HORTICULTURISTS
169	OTHER MGRS IN FARMING/HORT/FRSTRY/FISHNG
170	PROPERTY & ESTATE MANAGERS
171	GARAGE MANAGERS & PROPRIETORS
172	HAIRDRESSERS & BARBERS MANAGER/PROPRIETR
173	HOTEL & ACCOMMODATION MANAGERS
174	RESTAURANT & CATERING MANAGERS
175	PUBLICANS,INNKEEPERS,CLUB STEWARDS
176	ENTERTAINMENT & SPORTS MANAGERS
177	TRAVEL AGENCY MANAGERS
178	MANAGER & PROPRTR OF BUTCHERS/FISHMONGER
179	MANAGER & PROPRIETORS IN SERVICE INDSTRY
190	OFFICIAL OF TRADE ASSOC/UNION,PROF BODY
191	REGISTRARS/ADMINISTRATORS-EDUCATIONAL
199	OTHER MANAGERS/ADMINISTRATORS NSE
200	CHEMISTS
201	BIOLOGICAL SCIENTISTS & BIOCHEMISTS
202	PHYSICIST;GEOLOGIST;METEOROLOGIST
209	OTHER NATURAL SCIENTISTS N.S.E
210	CIVIL/STRUCT/MUNICPL/MINING ENGINEERS
211	MECHANICAL ENGINEERS
212	ELECTRICAL ENGINEERS
213	ELECTRONIC EMGINEERS
214	SOFTWARE ENGINEERS
215	CHEMICAL ENGINEERS
216	DESIGN & DEVEOLPMENT ENGINEERS
217	PROCESS & PRODUCTION ENGINEERS
218	PLANNING & QUALITY CONTROL ENGINEERS
219	OTHER ENGINEERS & TECHNOLOGISTS NSE
220	MEDICAL PRACTIONERS
221	PHARMACISTS/PHARMACOLOGISTS
222	OPTHALMIC OPTICIANS
223	DENTAL PRACTITIONERS
224	VETERINARIANS
230	UNIVERSITY/POLYTECHNIC TEACHING PROFESNL
231	HIGHER & FURTHER EDUCATION TEACHERS
232	EDUCATION OFFICER/SCHOOL INSPECTOR
233	SECONDARY EDUCATION TEACHING PROFESSIONL
234	PRIMARY/NURSERY EDUCTN TEACHNG PROFESSNL
235	SPECIAL EDUCATION TEACHING PROFESSIONALS
239	OTHER TEACHING PROFESSIONALS NSE
240	JUDGES & OFFICERS OF THE COURT
241	BARRISTER & ADVOCATES
242	SOLICITORS
250	CHARTERED & CERTIFIED ACCOUNTANTS
251	MANAGEMENT ACCOUNTANTS
252	ACTUARIES,ECONOMISTS & STATISTICIANS
253	MANAGEMENT CONSULTANTS/BUSINESS ANALYSTS
260	ARCHITECTS
261	TOWN PLANNERS
262	BUILD/LAND/MINING/GP SURVEYORS
270	LIBRARIANS
271	ARCHIVISTS & CURATORS
290	PSYCHOLOGISTS
291	OTH SOCIAL & BEHAVIOURAL SCIENTISTS
292	CLERGY
293	SOCIAL WORKERS & PROBATION OFFICERS
300	LABORATORY TECHNICIANS
301	ENGINEERING TECHNICIANS
302	ELECTRICAL/ELECTRONIC TECHNICIANS
303	ARCHITECTURAL & TOWN PLAN TECHNICIANS
304	BUILDING & CIVIL ENG TECHNICIANS
309	OTH SCIENTIFIC TECHNICIANS NEC
310	DRAUGHTSPERSONS
311	BUILDING INSPECTORS
312	QUANTITY SURVEYORS
313	MARINE,INSURANCE & OTH SURVEYORS
320	COMPUTER ANALYST/PROGRAMMERS
330	AIR TRAFFIC PLANNERS & CONTROLLERS
331	AIR FLIGHT DECK OFFICERS
332	SHIP & HOVERCRAFT OFFICERS
340	NURSES
341	MIDWIVES
342	MEDICAL RADIOGRAPHERS
343	PHYSIOTHERAPISTS
344	CHIROPODISTS
345	DISPENSING OPTICIANS
346	MEDICAL TECHNICIANS/DENTAL AUXILIARIES
347	OCC/SPEECH THERAPISTS, THERAPISTS NEC
348	ENVIRONMENTAL HEALTH OFFICERS
349	OTH HEALTH ASSOCIATE PROFESSIONALS NEC
350	LEGAL SERVICE & RELATED OCCUPATIONS
360	ESTIMATORS, VALUERS
361	UNDERWRITERS,CLAIMS ASSES,BROK,INVEST AN
362	TAXATION EXPERTS
363	PERSONNEL & INDUS RELATIONS OFFICERS
364	ORGANISATION,METHODS & WORK STUDY OFF
370	MATRONS, HOUSEPARENTS
371	WELFARE, COMMUNITY & YOUTH WORKERS
380	AUTHORS, WRITERS, JOURNALISTS
381	ARTISTS,COMMERCIAL ART, GRAPHIC DESIGNER
382	INDUSTRIAL DESIGNERS
383	CLOTHING DESIGNERS
384	ACTORS,ENTERTAINERS,STAGE MAN, DIR PROD
385	MUSICIANS
386	PHOTOGRAPHERS,CAMERA & VIDEO OPERATORS
387	PROFESSIONAL ATHLETES/SPORTS OFFICIALS
390	INFORMATION OFFICERS
391	VOCATIONAL & INDUSTRIAL TRAINERS
392	CAREERS ADVISERS & VOCATIONAL GUIDANCE
393	DRIVING INSTRUCTIONS (EXC HGV)
394	INSPECTOR OF FACTORIES TRADE STANDARDS
395	OTH STATUTORY & SIMILAR INSPECTORS
396	OCCUPATIONAL HYGIENISTS & SAFETY OFFICER
399	OTH ASSOCIATE PROF & TECH OCCUPATIONSNEC
400	CIVIL SERVICE ADM OFFICERS & ASSISTANTS
401	LOCAL GOVERNMENT CLERICAL OFF_& ASSISTS
410	ACCTS/WAGE CLERKS, BOOKKEEPERS, OTH CLER
411	COUNTER CLERKS & CASHIERS
412	DEBT, RENT, OTH CASH COLLECTORS
420	FILING, COMPUTER & RECORD CLERKS
421	LIBRARY ASSISTANTS/CLERKS
430	CLERKS (NOS)
440	STORES DESPATCH & PROD CONTROL CLERKS
441	STOREKEEPERS & WAREHOUSEMEN/WOMEN
450	MEDICAL SECRETARIES
451	LEGAL SECRETARIES
452	TYPISTS & WORD PROCESSOR OPERATORS
459	OTH SECRETARIES/PERSONNEL ASSIST/TYPISTS
460	RECEPTIONISTS
461	RECEPTIONISTS/TELEPHONISTS
462	TELEPHONE OPERATORS
463	RADIO,TELEGRAPH & OTHER OFF COMM SYS OPE
490	COMPUTER/DATA PROCESS/OFFICE MAC OPERATR
491	TRACERS & DRAWING OFFICE ASSISTANTS
500	BRICKLAYERS/MASONS
501	ROOFERS,SLATERS,TILERS,SHEETERS,CLADDERS
502	PLASTERERS
503	GLAZIERS
504	BUILDERS,BUILDING CONTRACTORS
505	SCAFFOLDERS, STAGERS, STEEPLEJACKS
506	FLOORERS,FLOORCOVERERS, CARPET FITTERS
507	PAINTERS & DECORATORS
509	OTHER CONSTRUCTION TRADES NEC
510	CENTRE,CAPSTAN,LATHE SETTERS & OPERATORS
511	BORING & DRILLING MAC SETTERS & OPERATOR
512	GRINDING MACHINE SETTERS & OPERATORS
513	MILLING MACHINE SETTERS & OPERATORS
514	PRESS SETTERS & OPERATORS
515	TOOL MAKERS, FITTERS & MARKERS-OUT
516	METAL WORKING PROD & MAINTENANCE FITTERS
517	PRECISION INSTRUMENT MAKERS & REPAIRERS
518	GOLDSMITHS, SILVERSMITHS & PREC STONE WO
519	OTHR MAC TOOL SET & SET OP NEC
520	PROD FITTERS (ELECTRICAL/ELECTRONIC)
521	ELECTRICIANS, ELEC MAINTENANCE FITTERS
522	ELECTRICAL ENGINEERS (NOT PROFESSIONAL)
523	TELEPHONE FITTERS
524	CABLE JOINERS, LINES REPAIRERS
525	RADIO,TV & VIDEO ENGINEERS
526	COMPUTER ENGINEERS INST & MAINTENANCE
529	OTHER ELECTRICAL/ELECTRONIC TRADES NEC
530	SMITHS & FORGE WORKERS
531	MOULDERS,CORE MAKERS, DIE CASTERS
532	PLUMBERS,HEATING & VENT ENGINEERS & REL
533	SHEET METAL WORKERS
534	METAL PLATE WORKERS SHIPWRIGHTS RIVETERS
535	STEEL ERECTORS
536	BARBENDERS STEEL FIXERS
537	WELDING TRADES
540	MOTOR MECHANICS AUTO ENGINEERS ROAD P EN
541	COACH & VEHICLE BODY BUILDERS
