Table_Name	Field_Name	Description	Type_(MS_Access_numeric_type)	Size_(MS_Access_number_of_bytes)	Type_(MS_Access_alphanumeric_type)	NFS_Lookup_table	Notes
Data: household data	hhno	household number	4	4	"Number, Long Integer"		
Data: household data	gormet2	government office region metropolitan county	4	4	"Number, Long Integer"	DCV: GORMET2.txt	Not populated before 1997
Data: household data	reg	standard statistical region	4	4	"Number, Long Integer"	DCV: Region.txt	
Data: household data	lad	local authority district	4	4	"Number, Long Integer"	DCV: LAD.txt	Northern Ireland from 1996 to 2000
Data: household data	styr	statistical year	4	4	"Number, Long Integer"		
Data: household data	stmth	statistical month	4	4	"Number, Long Integer"		
Data: household data	mic	ownership of microwave (1 = yes 0= not)	4	4	"Number, Long Integer"	DCV: Microwave ownership.txt	Not used before 1989
Data: household data	frez	ownership of freezer (1 = yes 0= not)	4	4	"Number, Long Integer"	DCV: Freezer ownership.txt	
Data: household data	owndw	tenure (ownership of dwelling)	4	4	"Number, Long Integer"	DCV: Ownership of dwelling.txt	Coding changed from 1997 on to include squatting 
Data: household data	memhh	number of members of the household	4	4	"Number, Long Integer"		"This field has been top-coded to remove all households with more than 10 members, for disclosure control purposes."
Data: household data	schmilk	school milk	4	4	"Number, Long Integer"	DCV: School milk.txt	Not used before 1998
Data: household data	incgp	income group of the head of the household	4	4	"Number, Long Integer"	DCV: Income Group.txt	
Data: household data	occhoh	occupation of the head of the household	4	4	"Number, Long Integer"	DCV_ OCC_OCCHOH Occupation class with unpacked descriptions.txt	"Not used from 1994 onwards, replaced by sochoh"
Data: household data	sochoh	social occupation class of the head of the household	4	4	"Number, Long Integer"	DCV: Standard occupation class.txt	Not used before 1994
Data: household data	dacthoh	degree of activity of the head of the household	4	4	"Number, Long Integer"	DCV: Degree of activity.txt	Not used from 1994 onwards
Data: household data	Finc_decile_by_members_of_hh	"family income by decile, net household income divided by weighting factor for household composition"	4	4	"Number, Long Integer"		"New field, see Equivalised Net Household Income Decile by household composition.pdf for description"
Data: household data	finctp	family income type	4	4	"Number, Long Integer"	DCV: Family income tp.txt	
Data: household data	pernohoh	person number of head of household	4	4	"Number, Long Integer"		
Data: household data	pernohw	person  number of housewife	4	4	"Number, Long Integer"		
Data: household data	agehoh_banded	age of head of household (banded)	4	4	"Number, Long Integer"	"Ref_Age_bands_for_household_table,txt"	All age fields have been banded for disclosure control purposes.
Data: household data	agehw_banded	age of housewife (banded)	4	4	"Number, Long Integer"	"Ref_Age_bands_for_household_table,txt"	All age fields have been banded for disclosure control purposes.
Data: household data	adltm	number of male adults (18 years or over plus 16 or 17 head of households)	4	4	"Number, Long Integer"		
Data: household data	adltf	number of female adults (18 years or over plus 16 or 17 head of households)	4	4	"Number, Long Integer"		
Data: household data	child	number of children	4	4	"Number, Long Integer"		
Data: household data	oaps	number of old age pensioners	4	4	"Number, Long Integer"		
Data: household data	adltgt64	number of members of the household aged over 64 years	4	4	"Number, Long Integer"		
Data: household data	stqtr	statistical quarter	4	4	"Number, Long Integer"		
Data: household data	country	country	10	255	Text		Northern Ireland from 1996 to 2000
Data: household data	gor	government office region	4	4	"Number, Long Integer"	DCV: GOR	Northern Ireland from 1996 to 2000.
Data: household data	agemdk_banded	age of main diary keeper	4	4	"Number, Long Integer"	"Ref_Age_bands_for_household_table,txt"	All age fields have been banded for disclosure control purposes.
Data: household data	incgpa	income group (1 = All A  2=B  3=C 4=D & E2 5=E1 & OAPs)	4	4	"Number, Long Integer"	DCV: Income group (A group).txt	
Data: household data	hhcomp	household composition	4	4	"Number, Long Integer"	DCV: Household Composition.txt	
