lad	gor
1	11
2	11
3	11
4	11
5	11
6	11
7	11
8	11
9	11
10	11
11	11
12	11
13	11
14	11
15	11
16	11
17	11
18	11
19	11
20	11
21	11
22	11
23	11
24	11
25	11
26	11
27	11
28	11
29	11
30	11
31	11
32	11
33	11
34	11
35	11
36	11
37	11
1001	12
1002	12
1003	12
1004	12
1005	12
1006	12
1007	12
1008	12
1009	12
1010	12
1011	12
1012	12
1013	12
1014	12
1015	12
1016	12
1017	12
1018	12
1019	12
1020	12
1021	12
1022	12
1023	12
1024	12
1025	12
1026	12
1027	12
1028	12
1029	12
1030	12
1031	12
1032	12
1033	12
1034	12
1035	12
1036	12
1037	12
1038	12
1039	12
1040	12
1041	12
1042	12
1043	12
1044	12
1045	12
1046	12
1047	12
1048	12
1049	12
1050	12
1051	12
1052	12
2001	1
2002	1
2003	1
2004	1
2005	1
2006	1
2007	1
2008	1
2009	2
2010	1
2011	1
2012	1
2013	1
2014	1
2015	1
2016	1
2017	1
2018	1
2019	1
2020	2
2021	2
2022	1
2023	2
2024	2
2025	1
2026	1
2027	1
2028	1
2029	2
3001	4
3002	4
3003	4
3004	4
3005	4
3006	4
3007	4
3008	4
3009	4
3010	4
3011	4
3012	4
3013	4
3014	4
3015	4
3016	4
3017	4
3018	4
3019	4
3020	4
3021	4
3022	4
3023	4
3024	4
3025	4
3026	4
4001	3
4002	2
4003	2
4004	2
4005	2
4006	3
4007	2
4008	2
4009	3
4010	2
4011	2
4012	3
4013	2
4014	2
4015	2
4016	3
4017	2
4018	2
4019	2
4020	2
4021	2
4022	2
4023	2
4024	2
4025	2
4026	2
4027	2
4028	2
4029	2
4030	2
4031	2
4032	2
4033	2
4034	2
4035	2
4036	2
4037	2
5001	5
5002	5
5003	5
5004	5
5005	5
5006	5
5007	5
5008	5
5009	5
5010	5
5011	5
5012	5
5013	5
5014	5
5015	5
5016	5
5017	5
5018	5
5019	5
5020	5
5021	5
5022	5
5023	5
5024	5
5025	5
5026	5
5027	5
5028	5
5029	5
5030	5
5031	5
5032	5
5033	5
5034	5
5035	5
5036	5
5037	5
5038	5
5039	5
5040	5
6001	6
6002	6
6003	6
6004	6
6005	6
6006	6
6007	6
6008	6
6009	6
6010	6
6011	6
6012	6
6013	6
6014	6
6015	6
6016	6
6017	6
6018	6
6019	6
6020	6
6021	6
6022	6
6023	6
6024	6
6025	6
6026	6
6027	6
6028	6
6029	6
6030	6
6031	6
6032	6
6033	6
6034	6
6035	6
6036	6
7001	10
7002	10
7003	10
7004	10
7005	10
7006	10
7007	10
7008	10
7009	10
7010	10
7011	10
7012	10
7013	10
7014	10
7015	10
7016	10
7017	10
7018	10
7019	10
7020	10
7021	10
7022	10
7023	10
7024	10
7025	10
7026	10
7027	10
7028	10
7029	10
7030	10
7031	10
7032	10
7033	10
7034	10
7035	10
7036	10
7037	10
7038	10
7039	10
7040	10
7041	10
7042	10
7043	10
7044	10
7045	10
7046	10
8013	7
8041	7
8042	7
8043	7
8044	7
8045	7
8046	7
8047	7
8048	7
8049	7
8050	7
8051	7
8052	7
8053	7
8054	7
8055	7
8056	7
8057	7
8058	7
8059	7
8060	7
9001	9
9002	9
9003	7
9004	7
9005	9
9006	9
9007	7
9008	9
9009	9
9010	7
9011	9
9012	9
9013	9
9014	9
9015	9
9016	9
9017	9
9018	7
9019	9
9020	9
9021	7
9022	9
9023	9
9024	7
9025	9
9026	7
9027	9
9028	9
9029	9
9030	9
9031	9
9032	9
9033	9
9034	9
9035	9
9036	9
9037	7
9038	7
9039	9
9040	7
9041	7
9042	9
9043	7
9044	9
9045	9
9046	7
9047	9
9048	9
9049	7
9050	7
9051	9
9052	9
9053	9
9054	7
9055	9
9056	7
9057	9
9058	7
9059	9
9060	9
9061	9
9062	9
9063	7
9064	7
9065	9
9066	9
9067	9
9068	9
9069	9
9070	9
9071	9
9072	9
9073	7
9074	7
9075	9
9076	9
9077	7
9078	9
9079	7
9080	9
9081	9
9082	9
9083	9
9084	7
9085	9
9086	9
9087	9
9088	9
9089	9
9090	9
9091	9
9092	9
9093	9
9094	9
9095	7
9096	9
9097	9
9098	7
9501	8
9502	8
9503	8
9504	8
9505	8
9506	8
9507	8
9508	8
9509	8
9510	8
9511	8
9512	8
9513	8
9514	8
9515	8
9516	8
9517	8
9518	8
9519	8
9520	8
9521	8
9522	8
9523	8
9524	8
9525	8
9526	8
9527	8
9528	8
9529	8
9530	8
9531	8
9532	8
10001	13
10002	13
10003	13
10025	13
10026	13
10027	13
