fdcat	majfd
100	100
100	105
100	111
100	112
100	113
100	114
100	115
100	116
100	117
100	129
100	155
100	156
100	157
100	158
100	159
100	160
100	161
100	162
100	163
100	164
100	167
100	168
100	169
100	171
100	172
100	173
100	174
100	175
100	176
100	177
100	178
100	183
100	210
100	214
100	217
100	218
100	221
100	222
100	227
100	228
100	229
100	231
101	62
101	71
101	119
101	120
101	184
101	185
101	188
101	191
101	196
101	199
101	233
101	236
101	248
101	285
101	315
101	318
102	88
102	127
102	203
102	204
102	205
102	208
102	241
102	294
103	58
103	59
103	66
103	83
103	93
103	94
103	118
103	123
103	195
103	197
103	198
103	200
103	202
103	270
103	271
103	274
103	277
103	282
103	286
103	290
103	291
103	299
103	308
103	309
103	319
103	332
103	333
104	58
104	59
104	62
104	66
104	71
104	83
104	88
104	93
104	94
104	118
104	119
104	120
104	123
104	127
104	184
104	185
104	188
104	191
104	195
104	196
104	197
104	198
104	199
104	200
104	202
104	203
104	204
104	205
104	208
104	233
104	236
104	241
104	248
104	270
104	271
104	274
104	277
104	282
104	285
104	286
104	290
104	291
104	294
104	299
104	308
104	309
104	315
104	318
104	319
104	332
104	333
105	4
105	5
105	6
105	9
105	10
105	11
105	12
105	13
105	15
105	16
105	17
105	22
105	23
105	31
105	36
105	41
105	46
105	51
105	55
105	73
105	77
105	78
105	79
105	80
105	110
105	135
105	138
105	139
105	143
105	148
105	150
105	151
105	152
105	153
105	154
105	192
105	240
105	245
105	251
105	252
105	253
105	254
105	255
105	256
105	257
105	258
105	259
105	260
105	261
105	262
105	263
105	264
105	267
105	281
105	287
105	301
105	304
105	307
105	312
105	313
105	314
105	320
105	323
105	327
105	328
105	329
105	334
105	335
105	336
105	339
106	4
106	5
106	6
106	9
106	10
106	11
106	12
106	13
106	15
106	16
106	17
106	22
106	23
106	31
106	36
106	41
106	46
106	51
106	55
106	58
106	59
106	62
106	66
106	71
106	73
106	77
106	78
106	79
106	80
106	83
106	88
106	93
106	94
106	100
