majfd	fdgp
4	4005
4	4006
4	4017
4	4023
5	4005
5	4006
5	4017
5	4023
5	5006
6	4006
6	4017
6	4023
6	5006
9	4017
9	4023
9	9016
9	9017
10	4017
10	4023
10	9016
10	9017
10	10016
11	4017
11	4023
11	9016
11	9017
11	10016
12	4017
12	4023
12	9016
12	9017
12	10016
13	4017
13	4023
13	9016
13	9017
13	10016
15	4017
15	4023
15	9016
15	9017
15	10016
16	4017
16	4023
16	9016
16	9017
16	10016
17	4017
17	4023
17	9017
22	4023
22	22023
23	4023
23	22023
31	31041
31	31094
36	31041
36	31094
41	31041
41	31094
46	31094
46	46051
46	46094
51	31094
51	46051
51	46094
55	31094
55	46094
58	31094
58	46094
59	31094
59	46094
62	31094
62	46094
62	62071
66	31094
66	46094
66	62071
71	31094
71	46094
71	62071
73	31094
73	46094
73	73077
77	31094
77	46094
77	73077
78	31094
78	46094
79	31094
79	46094
79	79080
80	31094
80	46094
80	79080
83	31094
83	46094
83	83094
88	31094
88	46094
88	83094
93	31094
93	46094
93	83094
93	93094
94	31094
94	46094
94	83094
94	93094
100	100117
100	100127
105	100117
105	100127
110	100117
110	100127
111	100117
111	100127
112	100117
112	100127
113	100117
113	100127
114	100117
114	100127
114	114117
115	100117
115	100127
115	114117
116	100117
116	100127
116	114117
117	100117
117	100127
117	114117
118	100127
118	118123
118	118127
119	100127
119	118123
119	118127
119	119120
120	100127
120	118123
120	118127
120	119120
123	100127
123	118123
123	118127
127	100127
127	118127
129	129129
135	135148
138	135148
139	135148
139	139148
143	135148
143	139148
143	143148
148	135148
148	139148
148	143148
150	150154
151	150154
151	151154
152	150154
152	151154
153	150154
153	151154
154	150154
154	151154
155	155161
155	155208
156	155161
156	155208
156	156159
157	155161
157	155208
157	156159
158	155161
158	155208
158	156159
159	155161
159	155208
159	156159
160	155161
160	155208
161	155161
161	155208
162	155208
162	162164
162	162171
163	155208
163	162164
163	162171
164	155208
164	162164
164	162171
167	155208
167	162171
168	155208
168	162171
169	155208
169	162171
171	155208
171	162171
172	155208
172	172183
172	172208
173	155208
173	172183
173	172208
173	173174
174	155208
174	172183
174	172208
174	173174
175	155208
175	172183
175	172208
176	155208
176	172183
176	172208
177	155208
177	172183
177	172208
178	155208
178	172183
178	172208
183	155208
183	172183
183	172208
184	155208
184	172208
184	184192
184	184202
184	184208
185	155208
185	172208
185	184192
185	184202
185	184208
188	155208
188	172208
188	184192
188	184202
188	184208
191	155208
191	172208
191	184192
191	184202
191	184208
192	155208
192	172208
192	184192
192	184202
192	184208
195	155208
195	172208
195	184202
195	184208
196	155208
196	172208
196	184202
196	184208
197	155208
197	172208
197	184202
197	184208
198	155208
198	172208
198	184202
198	184208
199	155208
199	172208
199	184202
199	184208
200	155208
200	172208
200	184202
200	184208
202	155208
202	172208
202	184202
202	184208
203	155208
203	172208
203	184208
203	203208
204	155208
204	172208
204	184208
204	203208
205	155208
205	172208
205	184208
205	203208
208	155208
208	172208
208	184208
208	203208
210	210214
210	210231
210	210248
214	210214
214	210231
214	210248
217	210231
217	210248
217	217218
218	210231
218	210248
218	217218
218	218231
221	210231
221	210248
221	218231
222	210231
222	210248
222	218231
222	222227
227	210231
227	210248
227	218231
227	222227
228	210231
228	210248
228	218231
229	210231
229	210248
229	218231
231	210231
231	210248
231	218231
233	210248
233	233236
233	233245
233	233248
236	210248
236	233236
236	233245
236	233248
240	210248
240	233245
240	233248
240	240245
241	210248
241	233245
241	233248
241	240245
245	210248
245	233245
245	233248
245	240245
248	210248
248	233248
251	251252
251	251254
251	251263
251	251301
252	251252
252	251254
252	251263
252	251301
253	251254
253	251263
253	251301
254	251254
254	251263
254	251301
255	251263
255	251301
255	255256
255	255263
256	251263
256	251301
256	255256
256	255263
257	251263
257	251301
257	255263
257	257258
258	251263
258	251301
258	255263
258	257258
259	251263
259	251301
259	255263
259	259260
259	259262
260	251263
260	251301
260	255263
260	259260
260	259262
261	251263
261	251301
261	255263
261	259262
261	261262
262	251263
262	251301
262	255263
262	259262
262	261262
263	251263
263	251301
263	255263
264	251301
264	264264
264	264301
267	251301
267	264301
267	267270
267	267277
270	251301
270	264301
270	267270
270	267277
271	251301
271	264301
271	267277
271	271277
274	251301
274	264301
274	267277
274	271277
277	251301
277	264301
277	267277
277	271277
281	251301
281	264301
281	281301
282	251301
282	264301
282	281301
285	251301
285	264301
285	281301
285	285301
286	251301
286	264301
286	281301
286	285301
287	251301
287	264301
287	281301
287	285301
290	251301
290	264301
290	281301
290	285301
291	251301
291	264301
291	281301
291	285301
294	251301
294	264301
294	281301
294	285301
299	251301
299	264301
299	281301
299	285301
301	251301
301	264301
301	281301
301	285301
304	304313
304	304339
307	304313
307	304339
307	307309
307	307313
308	304313
308	304339
308	307309
308	307313
309	304313
309	304339
309	307309
309	307313
312	304313
312	304339
312	307313
313	304313
313	304339
313	307313
314	304339
314	314334
314	314339
315	304339
315	314334
315	314339
315	315339
318	304339
318	314334
318	314339
318	315339
318	318319
319	304339
319	314334
319	314339
319	315339
319	318319
320	304339
320	314334
320	314339
320	315339
323	304339
323	314334
323	314339
323	315339
327	304339
327	314334
327	314339
327	315339
328	304339
328	314334
328	314339
328	315339
329	304339
329	314334
329	314339
329	315339
332	304339
332	314334
332	314339
332	315339
332	332333
333	304339
333	314334
333	314339
333	315339
333	332333
334	304339
334	314334
334	314339
334	315339
335	304339
335	314339
335	315339
335	335336
336	304339
336	314339
336	315339
336	335336
339	304339
339	314339
339	315339
339	339339
340	340341
340	340342
340	340344
341	340341
341	340342
341	340344
342	340342
342	340344
343	340344
343	343344
344	340344
344	343344
350	350351
350	350354
351	350351
351	350354
352	350354
352	352354
353	350354
353	352354
354	350354
354	352354
380	380382
380	380383
380	380389
381	380382
381	380383
381	380389
382	380382
382	380383
382	380389
383	380383
383	380389
384	380389
