minfd	minfddesc	majfd
401	MILK  LIQUID  FULL PRICE	4
402	"UHT" LIQUID MILK, FULL PRICE	4
403	STERILISED MILK, FULL PRICE	4
404	OTHER LIQUID MILK, FULL PRICE	4
501	MILK  LIQUID  WELFARE	5
601	MILK  LIQUID  SCHOOL	6
901	MILK  CONDENSED	9
1001	MILK  DRIED  NATIONAL	10
1101	INFANT MILKS	11
1201	MILK  INSTANT	12
1301	YOGHURT	13
1302	FROMAGE FRAIS	13
1501	SKIMMED MILK	15
1502	FULLY SKIMMED MILK	15
1503	SEMI AND OTHER SKIMMED MILKS	15
1601	OTHER MILK, INC SKIMMED	16
1602	OTHER MILK, NOT SKIMMED	16
1603	DAIRY DESSERTS	16
1604	OTHER MILKS	16
1701	CREAM	17
2201	CHEESE NAT HARD CHEDDAR AND CHEDDAR TYPE	22
2202	CHEESE NAT HARD OTHER UK VAR & FOR EQUIV	22
2203	CHEESE NAT HARD EDAM & OTHER CONTINENTAL	22
2204	CHEESE NATURAL SOFT	22
2205	COTTAGE CHEESE	22
2206	OTHER CHEESE NATURAL SOFT	22
2301	CHEESE PROCESSED	23
3101	BEEF STEAK INCL STEWING AND STK & KIDNEY	31
3102	BEEF JOINTS ON THE BONE INCL SIDES	31
3103	BEEF JOINTS BONED	31
3104	BEEF STEAK (LESS EXPENSIVE)	31
3105	BEEF STEAK (MORE EXPENSIVE)	31
3106	BEEF MINCED	31
3107	ALL OTHER BEEF, AND VEAL	31
3108	VEAL	31
3109	ALL OTHER BEEF	31
3601	MUTTON	36
3602	LAMB JOINTS INCL SIDES	36
3603	LAMB CHOPS INCL CUTLETS & FILLETS	36
3604	ALL OTHER LAMB	36
4101	PORK JOINTS INCL SIDES	41
4102	PORK CHOPS	41
4103	PORK FILLETS AND STEAKS	41
4104	ALL OTHER PORK	41
4601	ALL LIVER	46
4602	OX AND CALVES LIVER	46
4603	OX LIVER	46
4604	LAMBS LIVER	46
4605	PIGS LIVER	46
4606	OTHER LIVER (EXC. CALVES LIVER)	46
4607	OTHER LIVER (INC. CALVES LIVER)	46
5101	OFFALS  (OTHER  THAN LIVER)	51
5501	BACON  &  HAM  UNCOOKED	55
5502	BACON & HAM UNCOOKED JOINTS	55
5503	BACON & HAM UNCOOKED RASHERS PREPACKED	55
5504	BACON & HAM UNCOOKED RASHERS NOT PREPCKD	55
5801	BACON  &  HAM  COOKED (INCL CANNED)	58
5901	COOKED POULTRY (INCL CANNED)	59
5902	COOKED POULTRY NOT PURCHASED IN CANS	59
5903	COOKED POULTRY NOT PURCHASED IN CANS	59
5904	TAKEAWAY COOKED POULTRY	59
6201	CORNED MEAT	62
6601	OTHER COOKED MEAT (NOT PURCH IN CANS)	66
7101	OTHER CANNED MEAT (EXCL POULTRY)	71
7102	OTHER CANNED MEAT AND CANNED MEAT PRODS	71
7301	BROILER CHICKEN UNCOOKED (INCL FROZEN)	73
7701	OTHER POULTRY UNCOOKED (INCL FROZEN)	77
7702	CHICKEN UNCOOKED NOT BROILER	77
7703	TURKEY UNCOOKED	77
7704	POULTRY UNCOOKED NOT CHICKEN OR TURKEY	77
7801	RABBIT  &  OTHER  MEAT	78
7901	SAUSAGES  UNCOOKED  PORK	79
8001	SAUSAGES  UNCOOKED  BEEF	80
8301	MEAT PIES & SAUSAGE ROLLS READY-TO-EAT	83
8302	MEAT PIES, READY-TO-EAT	83
8303	SAUSAGE ROLLS, READY-TO-EAT	83
8801	FROZEN CONV MEAT/MEAT PRODS	88
8802	FROZEN BURGERS	88
8803	OTHER FROZEN CONVENIENCE MEATS	88
8804	FROZEN MEAT PIES PASTIES AND PUDDINGS	88
8805	OTHER FROZEN CONVENIENCE MEATS	88
9301	PATE	93
9302	DELICATESSEN-TYPE SAUSAGE	93
9401	OTHER MEAT PRODUCTS	94
9402	DELICATESSEN-TYPE SAUSAGES	94
9403	MEAT PASTES AND SPREADS	94
9404	MEAT PIES PASTIES PUDDINGS	94
9405	READY MEALS	94
9406	OTHER MEAT PRODUCTS NSE	94
9407	MEAT PIES, PASTIES & PUDDINGS	94
9408	TAKEAWAY MEAT PIES PASTIES & PUDDINGS	94
9409	READY MEALS	94
9410	TAKEAWAY READY MEALS	94
9411	OTHER MEAT PRODUCTS NOT CLASSIFIED ELSWH	94
10001	FISH  WHITE  FILLETED FRESH	100
10501	FISH  WHITE  UNFILLETED FRESH	105
11001	FISH  WHITE  UNCOOKED FROZEN	110
11101	FISH  HERRING  FILLETED FRESH	111
11201	FISH  HERRING  UNFILLETED FRESH	112
11301	FISH  FAT OTHER THAN HERRING FRESH	113
11302	FISH FRESH SALMON	113
11303	FISH FRESH BLUE NOT SALMON OR HERRING	113
11401	FISH  WHITE  PROCESSED	114
11501	FISH  FAT  PROCESSED FILLETED	115
11601	FISH  FAT  PROCESSED UNFILLETED	116
11701	FISH  SHELL	117
11801	FISH  COOKED	118
11901	SALMON  CANNED	119
12001	OTHER  CANNED  OR  BOTTLED  FISH	120
12301	FISH PRODUCTS NOT FROZEN	123
12302	FISH PRODUCTS NOT FROZEN	123
12303	TAKEAWAY FISH PRODUCTS	123
12701	FROZEN CONV FISH PRODS	127
12901	EGGS	129
13501	BUTTER NEW ZEALAND	135
13502	BUTTER DANISH	135
13503	BUTTER UK	135
13504	ALL OTHER BUTTER	135
13801	MARGARINE SOFT	138
13802	MARGARINE OTHER	138
13901	LARD & COMPOUND COOKING FAT	139
14301	VEGETABLE COOKING OILS	143
14302	SALAD OILS	143
14303	VEGETABLE & SALAD OILS	143
14801	ALL OTHER FATS INC LOW FAT SPREADS	148
14802	REDUCED FAT SPREADS	148
14803	LOW-FAT SPREADS	148
14804	OTHER FATS	148
14805	SUET & DRIPPING (SUET ONLY 72-75)	148
14806	DRIPPING	148
14807	OTHER FATS N.E.S.	148
15001	SUGAR	150
15101	JAMS  JELLIES  FRUIT  CURDS	151
15201	MARMALADE	152
15301	SYRUP & TREACLE	153
15401	HONEY	154
