minfd	minfddesc	Coded unit
401	MILK LIQUID FULL PRICE	pt
402	ULTRA-HEAT TREATED LIQUID MILK FULL PRICE	pt
403	STERILISED MILK FULL PRICE	pt
404	OTHER LIQUID MILK FULL PRICE	pt
501	MILK LIQUID WELFARE	pt
601	MILK LIQUID SCHOOL	pt
901	MILK CONDENSED	pt
1001	MILK DRIED NATIONAL	pt
1101	INFANT MILKS	pt
1201	MILK INSTANT	pt
1301	YOGHURT	pt
1302	FROMAGE FRAIS	pt
1501	SKIMMED MILK	pt
1502	FULLY SKIMMED MILK	pt
1503	SEMI AND OTHER SKIMMED MILKS	pt
1601	OTHER MILK INCLUDING SKIMMED	pt
1602	OTHER MILK NOT SKIMMED	pt
1603	DAIRY DESSERTS	pt
1604	OTHER MILKS	pt
1701	CREAM	pt
2201	CHEESE NATURAL HARD CHEDDAR AND CHEDDAR TYPE	oz
2202	CHEESE NATURAL HARD OTHER UK VARIETIES & FOREIGN EQUIVALENTS	oz
2203	CHEESE NATURAL HARD EDAM & OTHER CONTINENTAL	oz
2204	CHEESE NATURAL SOFT	oz
2205	COTTAGE CHEESE	oz
2206	OTHER CHEESE NATURAL SOFT	oz
2301	CHEESE PROCESSED	oz
3101	BEEF STEAK INCLUDING STEWING AND STEAK & KIDNEY	oz
3102	BEEF JOINTS ON THE BONE INCLUDING SIDES	oz
3103	BEEF JOINTS BONED	oz
3104	BEEF STEAK (LESS EXPENSIVE)	oz
3105	BEEF STEAK (MORE EXPENSIVE)	oz
3106	BEEF MINCED	oz
3107	ALL OTHER BEEF AND VEAL	oz
3108	VEAL	oz
3109	ALL OTHER BEEF	oz
3601	MUTTON	oz
3602	LAMB JOINTS INCLUDING SIDES	oz
3603	LAMB CHOPS INCLUDING CUTLETS & FILLETS	oz
3604	ALL OTHER LAMB	oz
4101	PORK JOINTS INCLUDING SIDES	oz
4102	PORK CHOPS	oz
4103	PORK FILLETS AND STEAKS	oz
4104	ALL OTHER PORK	oz
4601	ALL LIVER	oz
4602	OX AND CALVES LIVER	oz
4603	OX LIVER	oz
4604	LAMBS LIVER	oz
4605	PIGS LIVER	oz
4606	OTHER LIVER (EXCLUDING CALVES LIVER)	oz
4607	OTHER LIVER (INCLUDING CALVES LIVER)	oz
5101	OFFALS (OTHER THAN LIVER)	oz
5501	BACON & HAM UNCOOKED	oz
5502	BACON & HAM UNCOOKED JOINTS	oz
5503	BACON & HAM UNCOOKED RASHERS PREPACKED	oz
5504	BACON & HAM UNCOOKED RASHERS NOT PREPACKED	oz
5801	BACON & HAM COOKED (INCLUDING CANNED)	oz
5901	COOKED POULTRY (INCLUDING CANNED)	oz
5902	COOKED POULTRY NOT PURCHASED IN CANS	oz
5903	COOKED POULTRY NOT PURCHASED IN CANS	oz
5904	TAKEAWAY COOKED POULTRY	oz
6201	CORNED MEAT	oz
6601	OTHER COOKED MEAT (NOT PURCH IN CANS)	oz
7101	OTHER CANNED MEAT (EXCLUDING POULTRY)	oz
7102	OTHER CANNED MEAT AND CANNED MEAT PRODUCTS	oz
7301	BROILER CHICKEN UNCOOKED (INCLUDING FROZEN)	oz
7701	OTHER POULTRY UNCOOKED (INCLUDING FROZEN)	oz
7702	CHICKEN UNCOOKED NOT BROILER	oz
7703	TURKEY UNCOOKED	oz
7704	POULTRY UNCOOKED NOT CHICKEN OR TURKEY	oz
7801	RABBIT & OTHER MEAT	oz
7901	SAUSAGES UNCOOKED PORK	oz
